63
48
 2047 2004 1987 2122 2329 2200 2153 2241 2224 2171 2506 2466 2503 2281 2160 2172 2123 2098 2030 1944 1964 1867 1861 1794 1811 1824 1771 1877 2046 2056 1946 1790 1746 2105 2428 2589 2502 2271 2260 2131 1877 1703 1578 1464 1397 1376 1370 1365 1353 1391 1533 1651 1767 1773 1703 1674 1640 1558 1592 1641 1687 1768 1911
 2169 2196 2153 2102 2323 2346 2319 2342 2352 2420 2605 2449 2262 2253 2270 2122 2049 2015 1990 1949 1925 1977 1888 1793 1762 1751 1748 1793 1938 1939 1686 1747 2105 2378 2549 2664 2574 2487 2453 2260 2050 1863 1653 1516 1445 1411 1382 1364 1361 1362 1463 1702 1824 1846 1760 1685 1656 1590 1636 1700 1730 1815 1974
 2065 2233 2281 2255 2204 2266 2368 2406 2407 2460 2509 2339 2386 2528 2421 2208 2226 2134 2086 2064 1913 1888 1876 1836 1795 1749 1717 1737 1849 1998 1757 1933 2287 2530 2596 2710 2733 2690 2599 2449 2265 1978 1733 1618 1531 1475 1412 1380 1373 1388 1585 1798 1866 1818 1755 1785 1777 1734 1716 1848 1844 1874 1984
 2135 2226 2184 2074 2022 2099 2180 2208 2277 2354 2401 2346 2217 2125 2054 2009 2046 2170 2022 1894 1832 1794 1800 1800 1792 1769 1705 1754 1933 2039 1801 1838 2218 2330 2465 2678 2892 2661 2429 2244 2143 2024 1784 1689 1604 1526 1453 1411 1398 1460 1676 1859 1917 1872 1801 1833 1867 1886 1757 1892 2061 2030 1966
 2216 2175 2001 2005 2078 2136 2192 2233 2287 2367 2569 2472 2262 2218 2240 2135 2038 1958 1928 1950 1919 1806 1762 1752 1802 1879 1739 1739 1822 1917 1894 1791 2036 2218 2400 2702 2915 2644 2474 2266 2104 1975 1789 1704 1670 1586 1559 1462 1431 1482 1694 1915 1953 1858 1810 1841 1857 1841 1780 1868 2022 1977 1836
 1883 1974 1970 2149 2192 2232 2316 2287 2354 2313 2396 2535 2495 2301 2091 2084 2101 2028 1955 1964 1915 1834 1796 1769 1760 1743 1795 1781 1762 1791 1783 2014 2216 2371 2504 2776 2930 2729 2483 2332 2116 1859 1749 1669 1735 1715 1561 1449 1439 1518 1604 1769 1950 1957 1892 1888 1864 1860 1932 2006 1956 1737 1657
 1988 2042 2140 2207 2233 2271 2286 2165 2153 2258 2370 2309 2293 2223 2170 2271 2185 2041 1994 1947 1955 1896 1810 1798 1773 1780 1831 1847 1920 1971 2113 2047 2072 2218 2475 2706 2884 3067 2748 2373 2115 1949 1781 1679 1627 1499 1532 1586 1667 1650 1744 1859 1988 2070 1947 1892 1986 1947 1988 1877 1671 1587 1539
 2090 2041 2077 2107 2128 2157 2126 2003 2005 2150 2207 2247 2245 2074 2033 2044 2046 1948 1960 1892 1879 1813 1791 1775 1756 1793 1943 1971 2037 2046 2146 2265 2278 2478 2524 2816 2982 2778 2608 2440 2254 2028 1845 1662 1563 1550 1666 1730 1763 1772 1819 2009 2182 2059 1908 1869 1754 1692 1702 1594 1462 1440 1408
 1941 1952 1919 1919 1900 1900 1944 2026 2075 2117 2094 2148 2195 2135 1960 1880 1924 1922 1853 1853 1831 1866 1825 1800 1793 1781 1895 2016 2099 2174 2220 2365 2354 2525 2752 2936 2869 2842 2680 2742 2378 1984 1735 1564 1536 1597 1727 1770 1820 1869 1952 2126 2266 1968 1788 1785 1601 1534 1488 1390 1355 1348 1339
 1840 1875 1991 2013 2041 2046 2042 2037 2155 2133 2191 2211 2224 2356 2134 2082 2025 1951 2040 1950 1893 1968 1866 1814 1786 1797 1902 2015 2090 2225 2403 2444 2620 2678 2728 2829 2667 2633 2629 2539 2136 1824 1606 1537 1533 1552 1609 1717 1818 1901 1990 2157 2133 1888 1820 1712 1709 1545 1405 1343 1328 1322 1315
 1999 2047 2078 2103 2032 2110 2061 1943 2052 2088 2086 2055 2309 2322 2135 2038 2041 2178 2103 1935 1897 1961 1884 1864 1907 1904 1963 2123 2256 2357 2486 2518 2703 2713 2564 2488 2493 2517 2666 2450 2119 1743 1546 1534 1532 1540 1560 1628 1756 1856 1988 1954 1831 1749 1776 1777 1560 1408 1337 1325 1317 1315 1323
 1935 1934 1859 1820 1984 2121 2047 1784 1930 1918 1855 1987 2183 2251 2389 2188 2283 2355 2238 1964 1950 1982 1968 2202 2192 2078 2142 2166 2253 2251 2201 2269 2445 2251 2238 2125 2271 2308 2525 2137 1974 1656 1540 1534 1531 1533 1540 1637 1827 2122 2122 1853 1691 1645 1600 1678 1441 1332 1320 1317 1325 1332 1415
